微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
It0bZp0QN,木木木夕0518,女,湖北,218,64,木木木夕0518:所有人都在为这次疫情忙碌有的忙着治病救人有的忙着寻求医院紧张的床位有的忙着安抚家人有的忙着筹集救命物资有的忙着拦截物资……       忙着中饱私囊……       忙着趁机大赚一笔……有的老人节衣缩食捐款救灾有的却不配生而为人。到底要损失多少才能唤醒那些被狗吃掉良心的“人”第一时间发声，以生命为代价李医生牺牲的不值得希望一路走好 ,无,2020-02-07 00:08,前置双摄vivo X9,4,0,0,无
It0bXgM8N,沐瑾--Perhaps,女,江苏,415,138,沐瑾--Perhaps:#疫情吹哨人#  疫情发展到现在，刻意让自己不去关注那些令人绝望悲愤的消息，但是看到这个真的忍不住了，一下子想到了之前的种种。这个冬天真是太残忍了，多少生命在这个冬天悄无声息的走了，多少家庭要面临突如其来的噩耗，仅仅是几天的时间，他们竟阴阳相隔！那么好的人们啊，为什么要遭遇这些！上天啊，求您睁开眼睛好好看看吧，要惩罚就惩罚那些做了伤天害理的事的人吧，别再带走无辜的生命了，拜托您了！ ,无,2020-02-07 00:08,HUAWEI nova 3,13,1,3,无
It0bVv904,佩佩醬是寶寶呀,女,广东,498,432,佩佩醬是寶寶呀:最近的疫情搞得人心惶惶爸妈三天两头就会发来问候还总想着给我送饭菜不想让他们来回折腾但是也怕他们过度担心多看两眼总是好的我们终日在医院和宿舍之间往返下班了想上网放松心情看到的消息都会使心情更加沉重我的老师悄无声息去了湖北支援我的朋友也即将要去武汉支援她们也只是二十多的女孩子她们也害怕，但都义无反顾呀此刻我只希望你们都能平安归来我也不会抱怨，因为比我苦比我累的人多得多那些人才是真正的英雄仅此纪念此刻的心情，以及我对你们的敬佩 ,无,2020-02-07 00:08,iPhone客户端,0,0,0,无
It0bNhqY8,BigBlacks,女,其他,197,126,BigBlacks:武汉，疫情，红十字，政府，韩红基金会，医护人员，火神山，封城，还有好多这样大的词，我十八岁，我还没有大到能容纳这些很大词汇的全部重量和意义。但是一个人发烧了，躺在床上没有力气，也不好买药，不知道怎么去医院，很痛苦地咳嗽，睡觉，然后就那样等着死掉，那样的情绪，大概是能感受到的。很大的词落不到他头上，好像没有掺到热热闹闹的时代洪流里面去，人群积累起来的愤怒，同情，意识，对于那样一个人而言，是遥远的东西了。 ,无,2020-02-07 00:08,HUAWEI P20,0,0,0,无
It0bJ7kd3,YaHeCao,女,吉林,661,90,YaHeCao:疫情持续着、善举恶行，科普谣言，网上各种离奇的有趣的难辨真假的信息扑面而来，让人恐惧让人失望，也让人感动让人欣慰。深夜刷着微博，非常时期的故事以不同的方式轮回重复着，丰富着我们对世界的认知。几番控制依然涌出的热泪，让我知道自己对这个国家、这片土地的热爱有多深切。看到有人提议把抵工资的口罩全部捐出去的事情排成电影的提议，还有人续写了剧情，我也觉得非常好。 ,无,2020-02-07 00:07,iPhone客户端,0,0,0,无
It0bHCdZH,无人像我-Z,女,湖南,402,163,无人像我-Z:这阵子累积了太多的负面新闻了，都要看的自闭了！致敬我们每位逆行者的医护人员，保洁大叔阿姨以及安保人员，真的太不容易了！这场疫情赶紧结束吧！！！希望在不久的春天看见大家不用再戴口罩出门，街道恢复以往的热闹，我们还一起围着餐桌打火锅，喝奶茶🥤  中国加油！！！ http://t.cn/RD4C3n3 显示地图 ,http://t.cn/RD4C3n3,2020-02-07 00:07,iPhone客户端,0,0,0,无
It0bEFrw9,搏尔一笑,男,安徽,1024,1844,搏尔一笑:流行性疾病的骚扰，在我的记忆中，这不是第一次，肯定也不是最后一次。病毒的存在是客观的，人类并不能把它从地球上清除，它一直伴生人类，只是时隐时现，像一个杀人于无形的杀手，在闹市，在江湖，行踪无定。         忘不了2003年的非典了，当年冠状病毒的肆疟，虽时隔十几年，但祸害程度，仍让人色变。一些无辜的人死了，一些一线救人的医护人员死了，机关，工厂，学校都受到严重影响，恐怖的气氛，令人窒息，仿佛突然面对不知何处奔袭而来杀手，自己手无寸铁。         当时女儿尚在北京读书，听说学校也封了，我和她妈妈日夜焦虑，找药，咛嘱，那般的无力无奈，刻骨铭心。          17年2月去印尼旅游时，在乌布博物馆参观，看了许多当地画家作品，其中有多幅描写刀耕火种时期，先民垦荒的画面，震撼人心的是人物的眼睛，无一不透着惊恐，无助，科技进步的今天，尚且在自然面前惶恐，蒙昧先民则可想而知。人类，在自然面前永远只有守势。       记忆中，另外的一次严重疫病流行则是在文革期间，当时红卫兵 大串连 ，红卫兵走南闯北，导致的全国人口大规模无序流动，防疫体系的破坏，以及其带来的衣、食、住、行四方面问题，引发了流脑疫情的暴发，为抑制疫情，不得不紧急叫停红卫兵 大串连 。        更早一些时间，则如红眼病，流感广泛传播等。印象很深，当时治流感，用一种土方子，把松针打汁喝的苦味，想起仿佛还在喉咙。        目前疫病仍在蔓延，但凭着我们的制度优势，凭着科学技术，凭着中华医学几千年的实践和积累，病魔终会被降服。但警钟敲响，我们能不那么快的健忘吗？自然界生物之间的平等，平衡是永远的法则。         尊重自然，就是尊重自己。 原图 ,无,2020-02-07 00:07,iPhone客户端,4,0,0,无
It0bF0sBK,责任周刊,男,北京,83,21608,责任周刊:#我是王连升[超话]##责任周刊##ICT 责任周刊# @人民日报 @新浪财经 @央视新闻 @责任周刊 【#俄罗斯部分口罩价格上涨数十倍# 普京：吊销乱涨价药店的经营许可】2月5日，俄罗斯总统普京在政府会议上就口罩涨价问题表态。他表示，应吊销涉事药店的经营许可。受疫情影响，俄罗斯口罩需求上升。俄副总理果利科娃称，部分药店趁势乱涨价：一次性口罩单价从1.5卢布涨到70-100卢布。http://t.cn/A6P3uUw0 ,无,2020-02-07 00:07,我是王连升超话,1,0,0,无
It0bEoLqk,Peach_Elliot,男,上海,581,1114,Peach_Elliot:我们不需要英雄 我们需要每个人都能幸福的生活 最让人难过的是 当我们看到他的微博 发现他不是什么庚子八君子 不是什么疫情英雄 而只是一个普普通通的人 丈夫 和未来的父亲 我们才能更真实的体验到那样的绝望和痛苦 从没有人想要指责那些爱国的人 但在热爱这片土地之前 我们能否先做好一件事 去爱你身边的人 爱每一个普普通通的中国人 这比爱国这件事来的更重要 我们必须要永远记住那张训诫书上的一切 错的不是他对面的那些警察 而是那些已经发烂发臭的东西 这场绝望如果不能被铭记 不能推动一些真正的改变 这样的灾难永远不会消失 武汉不过是这一次的受难者 而我们也不过是侥幸逃生的幸运儿。 ,无,2020-02-07 00:07,iPhone XS,28,1,2,无
It0bzCxUw,Homolog没有o,女,其他,664,422,Homolog没有o:一直没有发过什么声，蚍蜉撼树，人微言轻，那些已经发生的无法阻止，还没发生的无法信服，能做的就是不添乱，不盲从，安静如鸡。谁也无法成为一个有效的预言家。信息爆炸宛如烟花，浮光掠影，层出不穷。    十二月下旬在论坛看到过海鲜市场的消息，以为是没见过世面的人们在哗众取宠。临走那天去办公室开会还是抓了一包医用口罩备用。车上前排大叔咳了一路，我庆幸自己戴着口罩，环顾四周无人介意，最后我反省自己是不是小题大做....直到官方公开人传人，直到省城一发封城令，直到物资短缺买不着，直到疫情蔓延如雪崩。    同样的，我深知这个过程中会有许多可歌可泣的英雄人，也会有许多愁肠百转的可怜人，按部就班的发展充满了科幻般的虚拟感和意料之中的节奏感。直到校区有确诊，身边有疑似，同学被隔离，终于体会到真实，大概就是从npc变成了路人乙。尤其看到今天这个医生的故事，可叹可惜，无奈无语。    格局大点有什么用，站位高点有什么用，不过是学做一枚小聋瞎磨练自己的钝感力罢了 [组图共2张] 原图 ,无,2020-02-07 00:07,iPhone客户端,1,0,0,无
It0byuSNG,人心里的成见是一座大山,女,其他,38,18,人心里的成见是一座大山:#博君一肖[超话]# 朋友们，我心态有点崩！最近一直在家，工作压力巨大，闲下来的时候就想看看视频，听听歌，结果弹幕弹幕撕，评论评论撕！不想看热搜，每天都是疫情的消息，看看其他的吧，总是冒出来各种营销号引战！阿西巴！！！我不生气，就是烦躁谁能告诉我该怎么调节心情呢？ ,无,2020-02-07 00:07,博君一肖超话,8,0,22,无
It0bydedS,嘉圆球球1020,女,陕西,61,548,嘉圆球球1020:从1月21日到今天孩子已经十七天没有下过楼了，21号开始不断的有疫情的消息发出，所以就不让孩子出门了，除夕开始西安取消所有娱乐活动，之后形势越来越紧张，除了中间有一天她哭嚎着要去湖边喂鱼，其他的时候还是很乖的。不让出门就自己看动画片，玩玩具之类。简单的告诉她不让出门的原因，而后又问她“为什么不可以出门，不可以上幼儿园”“因为外面有病毒”“那怎么办呢”“我们可以打败它的”是的，我们终究可以战胜这次疫情，又可以自由的出入。 ,无,2020-02-07 00:07,荣耀8X,0,0,0,无
It0buDeWR,Gxl17,女,其他,67,29,Gxl17:当你们还在抱怨困在家中无聊之时 想想为了我们还奋战在一线的他们 应该感到幸福和知足 为什么不换一个角度想想 老天给了你们一次难得的机会让你们这样陪在最亲最爱的人身边 何不好好珍惜这样的时候 弥补曾经的遗憾  希望我们每个人为了国家把最简单的事情做好：不要出门 一起共度难关 疫情很快就会过去 一切都会慢慢好起来  加油[加油] http://t.cn/R2WxQOQ 显示地图 原图 ,http://t.cn/R2WxQOQ,2020-02-07 00:07,荣耀V20 4800万3D相机,3,0,2,无
It0brDu0o,你没有看见-,女,其他,108,21,你没有看见-:记录一下这几天的情况吧经常看新闻哭的不行 一边抹泪 一边想着 会好起来的 祝福每个人 以后每年许愿 世界和平 从几天前开始 我真正的意识到 不能出门了 每天给父母输入 网上的消息 希望他们引起重视 不要出门 他们还是每天出门几趟 带了口罩 在三天前 我对他们说 你们还是要出门 我只能每天呆在卧室了 然后我进了卧室 这是我呆在卧室的第三天 很无聊 但是和远方正在奋斗的医生警察 志愿者患者 患者家属比起来 我这个 不配叫苦 我认为我不配柔软的躺在床上 奶奶和我们不住在一起 爸爸妈妈每天会去看奶奶 奶奶的大儿子爸爸的大哥也会每天去看奶奶 一进屋就取下口罩 我跟他们说 不要去 病毒会传染 他们还是在去 我都有点感恩 在他们的逻辑里 他们没有骂我狼心狗肺 不孝顺 爸爸妈妈使用智能手机 他们虽然不用微博 但是能正常浏览新闻 知道疫情严重 但是他们不知道那些隐藏起来的 关于患者和医生的悲剧 爸爸妈妈是很好的父母 为了我奉献很多 我无法说 他们不爱我 他们任何时候都照顾双亲 我也无法说 他们不孝顺那么问题出在哪里了呢 是人的劣根性吗 体会到了黄执中说的 有人是听不见远方的哭声的 由于他们不是真正的大仁大义 他们无法做到克制自己 在知道疫情危险的情况下 知道容易传染的情况下 还是对自己说声 没关系 带了口罩 就心安理得的出门逛逛 他们应该是爱我的 知道一个人传染我也会被传染的情况下 还是会出门 他们爱他们的父母 还是要去每天探望他们 他们无法真正心疼那些远方的 发生在新闻里面的悲剧 太可笑了 我不懂 为什么 ？他们不爱自己 不爱我 不爱父母 不爱国家我累了 每次说到这个事情都大吵大闹 在家绝食逼他们 可是没有用 他们觉得 自己的女儿太不懂事了 性格怪异 只能 各种找渠道买高价口罩给他们好吧 写完这个 我要整理一下说辞 开始今天跟他们的对话 这是一场无人可以幸免的灾难 ,无,2020-02-07 00:07,iPhone客户端,0,0,0,无
It0bj92PD,本羊不想起床,女,湖北,159,200,本羊不想起床:前线有那么多医护人员在倾尽全力，后方有那么多善良的人在捐赠善款筹集物资，可还是频频爆出一些让人觉得匪夷所思的事情，捐助的物资被某会拦截不给定点医院，zf官员回答问题时的含糊不清，司机去仓库取捐赠的口罩去给领导，早期发现疫情的医生被训诫……春天什么时候才会来啊，别让善良的人心都凉透了 ,无,2020-02-07 00:06,iPhone客户端,0,0,3,无
It0bif7cY,静静的小奴隶,男,其他,23,27,静静的小奴隶:晚安啦亲爱的性感宝贝羊羊公主还有两三天的时间，小羊宝贝就要去上班啦，就不能天天每时每刻和大羊腻在一起了，两个粘在一起的人每天就要分开八个小时了小羊宝贝，这段日子，虽然疫情不安，但是是我们在一起难得的休闲时光，感谢小羊的不嫌弃与陪伴，我爱你亲爱的老婆@多么哇塞塞的静静 原图 ,无,2020-02-07 00:06,HUAWEI Mate30 Pro 5G,3,0,0,无
It0bfgTN7,黑中的白空荡荡,男,湖北,349,54,黑中的白空荡荡:2月4日下午，由于疫情原因，我和宝宝起床后，岳母大人给我打电话🤳 让我下楼拿她自己种的蔬菜和其他准备的菜，说是由岳父大大送来，岳父要去单位值班顺便路过，我到大门口等着他来，见面虽然只有一句“唉，给你”但是我依然是感动的。整整两大包，回家一看，蔬菜肉🥩 都有，有些菜都还切好了。在这疫情严重的日子里希望你们健康快乐！ http://t.cn/R2Wx8wF 显示地图 ,http://t.cn/R2Wx8wF,2020-02-07 00:06,HUAWEI Mate 20 Pro,2,0,0,无
It0b7k2iA,笑面土狼,女,上海,427,1829014,笑面土狼:现在看不得医生、警察、志愿者等一线抗疫人员牺牲（被感染或过劳死）的新闻，尤其是很年轻的一线人员。昨天看到湖南乡镇医生连续多日抗疫猝死的消息，瞬间泪崩…他92年出生…比我还小…本来该有大好年华啊…如果…如果到时候查出来疫情搞这么大的原因绝大部分是人祸而非天灾…那么…这些牺牲的英雄情何以堪…等于是不得不给人擦屁股把自己命都擦没了…而拉屎的人没准还活的好好的甚至风生水起 ,无,2020-02-07 00:06,iPhone 7 Plus,473,30,39,无
It0aZ0IMc,的绿子,女,其他,254,59,的绿子:到现在为止已经太多无辜的人去世，总会鸣不平然后淡漠，但下一个出现还是会很心痛，现在疫情终于严重到让绝大部分人害怕了，而就因为那些没有半点公德心的败类，所有人的努力都白费，为什么一定要有侥幸心理，生命就这么不值得被引起重视吗，好吧，生死有命，好人一生平安都是扯，不用太善良，永远都有不领情的人。 ,无,2020-02-07 00:06,OPPO随光而变R17,2,0,0,无
It0aUirJy,淡雅的小菊,女,北京,121,180,淡雅的小菊:都成夜猫子了，老二才弄到床上睡觉，老大还在洗澡，我刚收拾完厨房。因为孩爸正月十六就上班了我就开始紧张，家里没有消毒液也没有酒精，我就京东买了台消毒柜，最起码孩爸每天带饭的餐具消消毒。于是把我家碗筷都倒腾到消毒柜里，橱柜的碗筷层一下子空了不少，就整理了其他层次的柜子，顺便找出了一次性手套，给孩爸用，找出了带饭的餐盒洗涮干净。门口的电表箱已经满满当当，爱分类还没有上班，已经没有地方堆放那些挑拣出来的垃圾，这个假期，真是堵得慌。既期盼着能够自由上班活动的日子，又害怕疫情扑面而来，我们难以招架。趁着这在家的日子，想了想好好整理一下吧，清理出空间，让满满当当的生活变得轻松一些。有些不用的就扔了吧，有些美丽的还是常拿出来看看。 ,无,2020-02-07 00:05,HUAWEI P30,1,0,0,无
It0aQsowk,重庆五中法院,男,重庆,408,32810,重庆五中法院:#案件播报# 【行拘10日！贵州#女子造谣老母猪说吃9个鸡蛋能防疫#，民警当天将其抓获】#女子造谣母猪开口说防疫秘方#2月5日，贵州六枝特区民警接到举报称，有人在微信群造谣称老母猪下崽后突然开口说话，称天亮前吃9个鸡蛋能防肺炎疫情。谣言迅速传播，引起市民广泛议论。民警当天就将造谣女子朱某抓获，目前其已被警方处以行拘10日。@一手Video http://t.cn/A6Pnk6FY ,无,2020-02-07 00:05,HUAWEI P30 Pro,1,0,0,无
It0aQ8o8M,是梦雅不是萌伢,女,湖北,353,144,是梦雅不是萌伢:7⃣️🈷️1⃣️8⃣️天~在这个特殊时期依依感冒了 出生以来第一次生病 我和她爸都有点手足无措 幸好吃了几天药好转了 心里的石头终于落地了 也铭记以后千万不能大意 小孩生病太可怜了 就一个感冒都能肉眼可见的瘦一圈  看着心疼这段时间宅在家里已经快憋疯了 尤其是依依的辅食 本来应该开荤的 因为不能出门 只能从简 年前也没准备零食 太愧疚了 等疫情过去 要加强辅食营养了 增强免疫力最最重要 (ps:图为三个多月的依依 那时候还是胖嘟嘟的) 原图 ,无,2020-02-07 00:05,iPhone客户端,1,0,2,无
It0aP1jHa,豆小姐_bean,女,广东,588,888,豆小姐_bean:从年三十到现在…看微博 就是越看越气 越看越怕 越看越伤心和同学感慨 从来没想过这样的事情离我们这么近年三十到现在 都是4点后才睡得着当时是讨论汕头的第一例确诊 就在我们隔壁小区再接着 从do先生的微博爆出医疗东西紧缺到很多人捐献后变成医疗口罩防护等都没有了 整个微博开始爆炸性出现各种问题慢慢地大家在微博上发现 有很多人感染了却没有位置可以去医治 看到有的人说有的人直接在医院走廊去了来不及上呼吸机接着这几天都是武汉及周边各种求助信 揭露了现在那边疫情的严重性和无奈没有足够的地方没有足够的医疗设备导致我这几天 不敢看微博的搜索因为害怕听到这么些消息 而自己却做不了什么 但现在真实的消息只能从微博看到希望疫情快点过去 http://t.cn/RJZlcfA 显示地图 ,无,2020-02-07 00:05,iPhone客户端,6,0,0,无
It0aG67De,遵义供电官微,男,贵州,194,1392,遵义供电官微:#抗击新型肺炎我们在行动# “老人家，你要过去需要登记”“大爷，为了你和他人的健康，不得口罩还是不要出门”“这个老师傅，疫情防控期间就不要出去钓鱼了吧”2月6日，余庆供电局党员、青年志愿者在疫情防控包保责任区劝导岗不遗余力地开展宣传、劝导、登记等工作，志愿者们对来往的人流进行细致地排查和疏导，鼓励错峰出行，也走进周边商铺宣传防疫消毒措施，并联合多部门、物业单位对各住宅小区开展人员流动登记、劝返督导排查等工作，以增强社区封禁期间的管控力量。据了解，余庆供电局灵活安排不在岗值守的工作人员，积极参与包保区志愿服务工作，人员分散驻守、轮换流动执勤，杜绝人流密集办公，为社区防疫工作贡献“央企力量”。@遵义交通文艺广播 @多彩贵州网 @中国电力新闻网 @遵义微生活 @贵州电网 @直播遵义 @中国电力报 http://t.cn/z8g3C6X 显示地图 [组图共5张] 原图 ,http://t.cn/z8g3C6X,2020-02-07 00:05,iPhone客户端,1,1,0,无
It0aAsbxR,快乐生活2016,女,广东,257,611,快乐生活2016:【《新闻联播》：这两天全国上千万企业、近两亿人开启在家办公模式】据央视《新闻联播》，依托互联网，各地利用新技术做好疫情防控的同时，在线教育、视频办公等新业态十分活跃。新装备助力抗击疫情的同时，新技术也开始各显其能。这两天，全国上千万企业、近两亿人开启在家办公模式。阿里、华为、腾讯等各大网络办公平台纷纷告急。对云服务的需求大增也让服务器生产企业开足马力，春节假期里，山东浪潮集团就接到了1500台服务器的订单。目前，中国已成为全球最大的电子商务市场，占据了全球零售电商40％以上的交易额。数字经济占GDP的比重超过了三分之一，总量居世界第二。 ,无,2020-02-07 00:05,360安全浏览器,0,0,0,无
It0am3QTt,WuLiwuli霹雳小帅,女,北京,276,234,WuLiwuli霹雳小帅:#王力宏[超话]##坚信爱会赢# 在这个特殊时期用视频记录了自己最平常的一天，现在每天做的最多的事儿就是洗手消毒，从包里各种口红到满包口罩，从每天讨论各种娱乐新闻到每天只关注疫情变化......相信我们一定能渡过难关，现在保护好自己，能不出门尽量不出门，出门必戴口罩就是我们做的最大的贡献#坚信爱会赢# http://t.cn/A6P1lBuM ,无,2020-02-07 00:04,王力宏超话,5,1,7,无
It0aitpvF,用户7336502390,男,浙江,479,34,用户7336502390:没钱的，认为金钱第一；有钱的，认为名利第一；有名的，认为权势第一。可这些在健康面前都不值一提，在这种疫情特殊时期，我们要知道什么才是最重要的！管住自己，多提点身边的朋友，热爱生活，珍惜生命！注意自己的身体健康！你强他就弱！胜利是属于大家的。好好努力！加油(ง •̀_•́)ง http://t.cn/RyhYNv0 显示地图 ,http://t.cn/RyhYNv0,2020-02-07 00:04,HUAWEI nova 3e,0,0,0,无
It09YFzIj,小森玲X,女,贵州,1644,131282,小森玲X:#不可辜负的美食# 好几天没有深夜放毒了，今天下午吃的是部队火锅！✨好多仙女都猜对了呢！年前囤的一批货，但家里食材还是有限，如果下次再做的话，我会放点香菇丸子，金针菇，还有啥呢，还没想好！反正把所有你想吃的食材放进石锅里面，倒入高汤或者清水，煮熟就可以了！分享一个肥宅的小技巧：可以把五花肉先煎熟，炸出来的油会让汤更佳美味，即使没有高汤，用清水煮的味道也是很棒的呢！~#人生第一次我们这样过年# 过完这个年我们都快要成为大厨了最后，希望疫情尽快过去之后，一线辛苦的工作人员们，也能像我们一样准时快乐的吃上每一顿饭！ [组图共6张] 原图 ,无,2020-02-07 00:03,iPhone XS,34,4,29,无
It09XvG4n,军军菌菌,女,广东,123,70636,军军菌菌:【聚众打麻将？#民警收走麻将中的四个壹万#：不怕壹万 就怕万一】 #关注新冠肺炎疫情#2月4日，四川广元旺苍警方在对县城区行业场所进行检查行动过程中，发现城区一家庭茶楼仍在继续营业。经询问得知，该私人茶馆闲来无事，怀揣侥幸心理，召集几个亲戚朋友打麻将娱乐。了解到相关情况后，为警示教育群众，民警将麻将中的四个“壹万”全部收走，并对其进行了严厉批评教育:不怕“壹万”，就怕“万一”。http://t.cn/A6P3PJ2A ,无,2020-02-07 00:03,小米8周年旗舰手机,0,0,0,无
It09SbLxp,-几暮,女,河北,628,134,-几暮:🔔叮～按时长大🎆2020.02.07🗓️正月十四💕二十四岁♒️双鱼座✨ 有文案✨ 🎀 无配图🎀 🌈祝自己生日快乐🎂  🏥 愿疫情早日结束！🎊👩🏻⚕️所有白衣天使平安归来✨💝感谢所有的遇见和幸运💝💫愿所有美好在新的一岁如期而至✨ ☀️希望爱我的人和我爱的人都健康快乐☀️💌愿往后的每一天都很好，超级好，无敌好💖 ,无,2020-02-07 00:03,iPhone客户端,11,0,10,无
It09OkBLJ,Hello_skyk,男,广东,597,457,Hello_skyk:全国抗疫，让我在家拜读了三遍“路遥”的人生。正如作家柳青在其巨作《创业史》中所说：“人生的道路虽然漫长，但要紧处常常只有几步，特别是当人年轻的时候。没有一个人的生活道路是笔直的、没有岔道的。有些岔道口，譬如政治上岔道口，个人生活上的岔道口，你走错一步，可以影响人生的一个时期，也可以影响人生。命运的嘲弄，让高加林有时无法掌控自己的命运，有时却可以让生活升华，也许这就是人生，没有过不去的坎，也没有永远的坦途。就像这次疫情发生，让我们看到了党和人民的团结一致，众志成城。我相信我们一定能战胜病魔，驱散阴霾。愿奋斗在一线的医护工作者保护好自己，我们在春暖花开时等你归来。 原图 ,无,2020-02-07 00:03,iPhone客户端,1,0,0,无
