微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,content,发布时间,点赞数,转发数,评论数
IrboSyZyn,足智多谋小猪熊,女,四川,174,49,足智多谋小猪熊:#与思源一起驰援湖北疫情#予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@OurHome王力宏歌迷会 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,0
IrboSwGrB,小李修仙日记,女,上海,221,11,小李修仙日记:2020大愿望 疫情得到控制，国泰民安全家老小平安健康  ,2020/1/26 0:59,0,0,0
IrboSg9jr,Aishiterufafa,女,广东,116,47,Aishiterufafa:#与思源一起驰援湖北疫情# 小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@凉舟sadVv 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 0:59,0,0,0
IrboSf4u2,陳兔子_1003,女,广东,353,152,陳兔子_1003:#陈立农[超话]#🧚🏻♂️ #致敬疫情前线医护人员#🤞🏻#和陈立农一起做公益# 绵薄之力 武汉加油💪 希望赶快远离病毒  原图 ,2020/1/26 0:59,1,0,0
IrboSg9uf,是晓镜不是马纠,女,江苏,124,35,是晓镜不是马纠:虽然病例在增加，但今天心情已经不在谷底了。逐渐感受到身边大家对疫情的重视；昨天让人感到难受的视频被证实是谣言（视频有些假，但也不能否认一线情况确实很艰难）；物资也逐渐到位（虽然依旧紧张，消耗量太大）；火神山后又有了雷神山（有人说是因为比非典严重才有，但现在国家条件更好了，多建不是更有利于疫情吗）；各地医护人员已经赶往一线，他们不仅是医生护士，更是与病魔斗争的战士……好消息已在传出……可能不能称为好消息，但也算是有好的进展……最好，会！更！好！的！🙏🙏🙏会！好！！！的！！！！💪💪💪 ,2020/1/26 0:59,18,0,0
IrboRlJdw,momo-lala,女,广东,241,285,momo-lala:春节谨守公民职责，拒绝聚餐和串门，连娘家都没回。在家宅了两天，肚子都坐大了。想不到鼠年是这样度过的，看着春晚刷着疫情消息，觉得我们已经很幸福了。外面下着雨，我们有温暖的家。  [组图共18张] 原图 ,2020/1/26 0:59,0,0,0
IrboR6ns7,心理咨询师魏谦,女,重庆,16,1568,心理咨询师魏谦:#全国确诊新型肺炎病例# 面对疫情，作为普通人的我们不能掉以轻心，要重视预防做好防护措施但也不用盲目恐慌，要淡然对待做到顺其自然 重庆  显示地图 ,2020/1/26 0:59,0,0,0
IrcYgjwTe,达佳淼宝,女,江苏,858,825,达佳淼宝:#春节在家真实状态#吃，睡，玩手机，关注疫情发展，随时准备抢购防护用品吃，睡，玩手机，关注疫情发展，随时准备抢购防护用品吃，睡，玩手机，关注疫情发展，随时准备抢购防护用品  原图 ,2020/1/26 4:59,0,0,0
IrcYcckbW,千江月-7111,女,北京,580,1220,千江月-7111:祈愿疫情早日化去，人人身体康泰，让我们一起透过自己的努力来帮助这个世界！祈愿世界充满和平，国家繁荣昌盛，阳光照遍心灵！一切有情，鼠年吉祥！       ——当下自在#当下自在##鹿苑精舍# #当下自在# #佛教[超话]#  原图 ,2020/1/26 4:59,5,2,4
IrcY78WgT,道长先生很暖,男,山东,165,69,道长先生很暖:要不说，做人还是要正能量，武汉肺炎疫情怎么发生的大家都清楚，在自己内心胆怯的时候想想这一切都是人自己造成的伤害。平时喜欢吃野生动物，觉得自己见识高有钱有能耐，特别是大人多一些。医生也是人，他们不怕这个不怕那个，反倒我们在没事时玩的比谁都欢，稍微有点事就吓的忐忑不安。记住，大自然再一次发威。还有抵制一些道德有问题的人，自己的生命固然重要，都但是不要去残害自己的灵魂，你有难了你自己看着办？ http://t.cn/RVZ6yhC 显示地图 ,2020/1/26 4:59,0,0,0
IrcY6zF63,顺逆可度,男,其他,16,1,顺逆可度:一首歌曲《你有多美》，献给全力防控疫情的白衣勇士们 一首歌曲《你有多美》，献给全力防控疫情的白衣勇士们  原图 ,2020/1/26 4:59,0,0,0
IrcY1grey,Maomaoio,女,广东,196,822,Maomaoio:半夜突然这个点醒打开微博看疫情增加例太扎心了人生无常 希望我爱的人都平安。  ,2020/1/26 4:59,3,0,0
IrcY04lkU,vb_皓皓,男,浙江,171,8177,vb_皓皓:疫情中的武汉，空无一人，#武汉加油# 希望可以尽快挺过去  [组图共9张] 原图 ,2020/1/26 4:59,11,0,10
IrcXVl3Pk,阿音音宝宝,女,湖北,169,45,阿音音宝宝:#与思源一起驰援湖北疫情# 予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@王一博公益站 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,0,0,0
IrcXV5vE1,四平三稳,男,其他,40,82,四平三稳:#与思源一起驰援湖北疫情# 赠人玫瑰，手有余香。我在“一份爱心一份力量，共抗疫情”项目捐款成功！@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,0,0,0
IrcXUcftR,一路全是风景,男,其他,1210,1413,一路全是风景:领导干部，请答疫情防控这道题。人民网评：疫情是考题，各级领导干部请答卷  ,2020/1/26 4:58,2,0,0
IrcXQAt22,小鲜肉的麻麻0606,女,江苏,139,97,小鲜肉的麻麻0606:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@王一博公益站 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,0,0,0
IrcXQlzbm,灰姑小娘娘,男,北京,127,14,灰姑小娘娘:#辽宁肺炎##营口肺炎#营口盖县 盖州市线沟村，一点没意识到疫情的严重性，没有宣传，没人戴口罩，互相还说谁谁谁是从武汉回来的，但也没人注意，大年初一还挨家挨户拜年，拜完年还串门子呢！五六十岁以上的老人不当回事，就连二三十岁的年轻人也不当回事！希望村里加强宣传，加强宣传，加强宣传！！！我在外边干着急使不上劲啊 原图 ,2020/1/26 4:58,1,0,0
IrcXQiRCi,阿音音宝宝,女,湖北,169,45,阿音音宝宝:#与思源一起驰援湖北疫情#与爱同路，让爱回家。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@王一博公益站 一起放大爱的力量！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,0,0,0
IrcXGfLVZ,小香蕉ruirui,男,重庆,1275,613,小香蕉ruirui:说一个秘密吧 其实我希望被疫情感染不治身亡 但我又害怕给其他人添麻烦  ,2020/1/26 4:58,0,0,2
IrcXEwYue,毛不易后援宣传组,男,北京,20,1439,毛不易后援宣传组:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@毛不易全球粉丝后援会 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,10,0,0
IrcXEbDTO,在世有为,男,辽宁,215,7,在世有为:一首歌曲《你有多美》，献给全力防控疫情的白衣勇士们 一首歌曲《你有多美》，献给全力防控疫情的白衣勇士们  原图 ,2020/1/26 4:58,0,0,0
IrcXCqRYY,Dear-风澜雪,女,北京,978,326,Dear-风澜雪:#与思源一起驰援湖北疫情#与爱同路，让爱回家。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@Dear迪丽热巴后援会 一起放大爱的力量！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:58,0,0,0
IrcXC9fGd,Katherine_ZXY,女,海外,31,500,Katherine_ZXY:大年初二，大雨。疫情和雨。娘家是不敢回了。  原图 ,2020/1/26 4:58,0,0,0
IrcXA3ntn,原子413,男,江苏,52,68,原子413:海外媒体爆出来的消息，远远比国内官方通报要严重的多，过年不能回去，我深深牵挂家里的亲人朋友！这个时候，迷信保健，迷信中医，迷信风水，迷信宗教，心存侥幸都是无济于事的。呼吁大家充分重视，相信科学，减少接触，自我隔离。公司下一步可能要暂时切断沙特与国内的人员往来。祝愿祖国早日战胜疫情，海外游子早日归家！ 原图 ,2020/1/26 4:58,1,0,1
IrcXyysgC,用户3293547003,男,山东,90,37,用户3293547003:【海报新闻】转发!扩散!钟南山院士呼吁：解决疫情最快，成本最低的方式就是全中国人民在家隔离两周，这样对http://t.cn/A6P5QqGd  ,2020/1/26 4:58,0,0,0
IrcXxnzZB,固原文化旅游,女,宁夏,339,3704,"固原文化旅游:【宁夏全面打响阻击新型冠状病毒感染的肺炎防控战】1月25日，记者从自治区卫生健康委获悉，按照党中央、国务院决策部署和国家卫健委工作要求，我区各地、各部门迅速行动，重点围绕“防、控、治”三个环节，以不发生二代病例、不发生医护人员感染、不发生死亡病例为目标，全面落实新型冠状病毒感染的肺炎疫情联防联控措施，各项工作稳步推进。　　自治区党委、政府先后召开常委会、调度会、专题会研究部署疫情防控工作。自治区党委书记、人大常委会主任陈润儿，自治区党委副书记、自治区主席咸辉第一时间作出批示并亲自调度部署、实地调研督查慰问，自治区副主席杨培君靠前指挥，全面统筹协调推进防控工作。成立以政府分管主席任组长、30个部门参与的防控工作领导小组，出台应急预案，提升应急响应级别，启动II级响应。财政先期投入3000万元，卫生健康部门及时制定防控诊疗等方案，开展技术指导，加强督查检查，确保各项措施有效推进。　　银川市制定了《银川市新型冠状病毒感染的肺炎疫情设卡堵疫专项防控工作方案》，派出6个督导组进行督导检查。　　石嘴山成立工作领导小组及有关专家组，建立包抓县区工作机制。　　吴忠市全面部署防控工作，书记、市长分别带队督导。　　固原市由主要领导带队对汽车站、火车站防控落实情况进行督导。　　自治区党委宣传部、网信办、教育厅、公安厅、交通运输厅等部门成立领导小组、制定工作方案，全力推进防控措施落实。　　自治区新型冠状病毒感染的肺炎疫情防控领导小组突出重点，切实发挥好预防、疾控、调度、诊疗机构的专业作用，形成强大合力，确保各项防控措施横向到边、纵向到底、全向到位。　　自治区卫生健康委严格落实乙类传染病甲类管理措施，全面落实预检分诊制度，在全区各级各类医疗机构全部设置预检分诊，二级以上医疗机构全部设置发热门诊，对发现的新型冠状病毒感染的肺炎患者，一律无条件收治，做到早发现、早报告、早诊断、早治疗。　　自治区人力资源和社会保障厅将农民工纳入统一的防控范围，对疫情防控中的医护及相关人员因履行工作职责，感染新型冠状病毒肺炎或因感染新型冠状病毒肺炎死亡的，应认定为工伤，依法享受工伤保险待遇。自治区交通运输厅组织高速公路服务区落实消毒、通风和环境卫生整治等措施。设置临时隔离场所，做好司乘人员体温监测。　　自治区市场监管厅对银川、石嘴山、吴忠等地市场监管部门防控工作开展情况进行了抽查，严厉打击野生动物经营行为。宁夏红十字会凤凰北街红十字会组织志愿者对在疫区上大学的学生进行摸排。　　银川海关督查银川河东国际机场口岸防控工作，对银川河东国际机场出入境航班乘客进行体温检测。　　自治区医保局对确诊患者发生的医疗费用，在基本医保、大病保险、医疗救助等按规定医保支付后，个人负担部分由财政给予补助；对异地就医患者报销不再执行异地就医未经转诊支付比例减少的规定；对符合卫生健康部门制定诊疗方案的药品和医疗服务项目，临时纳入医保基金支付范围；对收治患者较多的医疗机构提前预付2020年度一季度部分资金，对新型冠状病毒感染的肺炎患者医疗费用单列预算。　　自治区新型冠状病毒感染的肺炎疫情防控领导小组办公室，积极回应社会关切，利用官网平台，及时公布疫情应急响应级别，推送健康知识，公布疫情动态。“如何正确佩戴口罩”的科普短视频，视频播放量超过15,000人次。坚持正面引导，召开应对新型冠状病毒感染的肺炎疫情媒体沟通会，重点对疫情及防控工作进行了通报，对媒体关注的问题一一做了解答。实时监测舆情动态，对不实谣言进行了正确引导，避免引起公众恐慌。向全区人民发出“武汉来宁返宁人员的健康提示”，告知四条防范措施，各大媒体广泛报道，宣传效果明显。　　同时，加强对各类媒体尤其是自媒体的管控，引导其严格依法宣传防疫知识，防止炒作和不实报道，杜绝恐慌情绪，维护正常秩序。自治区公安厅对2名散布传播不实谣言信息的人员采取稳控措施，及时删除和封控谣言信息，依法稳妥核查违法信息。各市、县组织开展爱国卫生运动重点，清扫清理卫生死角，给人民群众营造一个整洁优美、规范有序、喜庆祥和的节日氛围。（宁夏日报记者　尚陵彬） http://t.cn/R2WxD8Q 显示地图 ",2020/1/26 4:58,8,1,2
IrcXwwrQn,毕小婧FM893,女,湖南,832,2377,毕小婧FM893:看到很多朋友说海外捐赠的物资被卡在长沙的，这是长沙海关的2020年第1号公告，不知是否能帮到你们。『长沙海关2020年第1号公告（应对新型冠状病毒肺炎疫情的进口捐赠物资办理通关手续的公告）』http://t.cn/A6PqQpZJ  ,2020/1/26 4:58,2,0,0
IrcXwfVWD,法治四川,男,四川,3556,1226478,法治四川:#肺炎症状#【#日本第3例新型肺炎患者未住院#：症状轻，来自湖北武汉的女性游客】当地时间25日，日本确诊第3位新型肺炎患者，患者为来自湖北武汉的30多岁女性，有咳嗽症状，发热37度，因症状轻并未入院，正等待进一步就诊。日本政府就疫情开展工作。#日本确诊3例新型肺炎病例#http://t.cn/A6P5JvMi  @微天下 ,2020/1/26 4:57,2,1,0
IrcXtA80t,涵噗噗,女,四川,501,238,涵噗噗:#与思源一起驰援湖北疫情# 小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿点滴之举温暖更多心灵。@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 4:57,0,0,0
IrcXsnKJV,歪歪就这样,女,黑龙江,546,58,歪歪就这样:看哭！众志成城阻击疫情，生态环保铁军在行动 http://t.cn/A6P5biyR  原图 ,2020/1/26 4:57,0,0,0
IrcXohmcn,一字一明珠,女,山东,140,59,一字一明珠:不让出门就窝家里，出门倒垃圾就戴口罩，回家洗手消毒，消毒液没事儿喷一喷，时时应对我夸张述说疫情造成的恐慌。🙃怎么说呢，很是欣慰，两位都是极好的同志。爱都是相互的嘛，我不就是听从二位不让熬夜所以凌晨4点就起床了嘛，不让玩手机只能在上厕所的时候悄咪咪看一眼嘛。🙃端坐在沙发，互相望一眼，那种看见你就不烦别人的眼神，注定了2020是个不平凡的一年。众志成城，一定能赢！ ,2020/1/26 4:57,0,0,0
IrcXhbbx6,球迷__闪烁的星星,男,湖南,393,1528,球迷__闪烁的星星:#东方财富#财政部、卫生健康委联合发布通知 积极落实疫情防控经费保障政策财政部、卫生健康委联合发布通知 积极落实疫情防控经费保障政策东方财富  原图 ,2020/1/26 4:57,0,0,0
IrcXewULQ,鹿藝i,女,辽宁,2816,33347,鹿藝i:#最新疫情地图#提个问题 现在闹病毒 导致没办法工作挣钱 那么 花呗白条该怎么还？？？  ,2020/1/26 4:57,26,0,16
IrcXecmgP,李暁曦丶,女,陕西,291,109,李暁曦丶:曾以为恋人分开肯定就是因为不爱了，或者是第三者，再或者是没爱过，总之一定是浅显易懂的，后来发现分手很复杂，不爱了反而是最温柔的理由！剩下的路就自己走下去吧！希望我去的时候疫情可以得到控制不然出西安都难  [组图共2张] 原图 ,2020/1/26 4:57,1,0,1
IrcXdC76r,嗨嗨孩奥,男,重庆,43,75,嗨嗨孩奥:看了一个陌生女孩子的微博圈，觉得特别有趣： 1、记录的一些重庆生活和旅行小片段，美好到让人忘却当下还有疫情蔓延的忧虑和恐慌。2、挣钱很重要，培养有趣的灵魂更重要  ,2020/1/26 4:57,0,0,0
IrcXcre3m,why岁月长衣裳薄,女,湖北,138,47,why岁月长衣裳薄:这个疫情学生可以推迟开学时间。服务及制造行业要正常上班保证正常运行医护人员一直奋战在一线希望大家出门做好必要的防护保证自己平安 家人平安 朋友平安  ,2020/1/26 4:57,2,0,0
IrcX2pwfp,Yl小依最美,女,湖南,36,42,Yl小依最美:#全国确诊新型肺炎病例#能让整个湖北省，河南省，北京市等城市相继封城，后面陆续还有城市开始封城，一些城市除了超市以外所有营业场所全部暂停营业，贺岁电影全部下架，全国所有城市进入一级卫生戒备，百城空巷，疫情一定是你想不到的严重。请放下你的盲目自信。疫苗治疗效果出来之前也不要相信任何专家学者，因为专家也不是神，病毒也可能随时变种变异，请照顾好自己和家人，对自己和家人朋友负责。在此祝大家新年快乐。 原图 ,2020/1/26 4:56,10,0,0
IrcX24uq4,真李小刀,男,河北,686,625,真李小刀:儿子在部队保家卫国！孩儿他妈在医院报名准备抗击疫情！我也要到社区参与抗击疫情工作了！父母大人在家里面自觉减少外出流动！#新型冠状病毒##减少流动# 愿大家都好！愿祖国无殇！  原图 ,2020/1/26 4:56,5,0,0
IrcX03jJV,乳酸菌發酵FY,女,贵州,128,68,乳酸菌發酵FY:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@Dear迪丽热巴后援会 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:56,6,0,0
IrcWV0qOU,小笛爱神秘,女,河北,98,33,小笛爱神秘:白羊座的淡定和理性，真的很恐怖，分析透彻，只要得到证明，然后头也不回的转身离开的事，也不是一二三四五六七八次了，我的决定我不会后悔，我泼出去的水，盆都可以不要——白羊座 #最新疫情地图##情感故事##年轻人恋爱观念#当代年轻人的恋爱观念，过于真实  ,2020/1/26 4:56,0,0,0
IrcWSnqny,优雅静公主,女,其他,1126,64888,优雅静公主:#优雅的静公主a[超话]#时间可真快呀，转眼间今年是大年初二，因为现在种种原因，疫情有些严重，所以只好宅在家里听听音乐 ，欣赏乔瓦尼轻音乐“AndI  You》如此如画，温暖有爱，愿我们大家都好好的，平安无事，为武汉的医生和护士们加油！[加油][加油] 优雅静公主的微博视频  ,2020/1/26 4:56,7,8,0
IrcWS5NZq,小穹影的九音兔丘,女,其他,12,2,小穹影的九音兔丘:保佑爸爸妈妈弟弟身体健康！疫情早日解决🙏🙏🙏  ,2020/1/26 4:56,0,0,0
IrcWRaZcv,东安发布,男,湖南,156,1466,东安发布:湖南省决定启动重大突发公共卫生事件一级响应根据《湖南省突发公共卫生事件应急预案》，结合湖南省当前新型冠状病毒感染的肺炎疫情防控形势，省新型冠状病毒感染的肺炎疫情防控工作领导小组决定，启动湖南省重大突发公共卫生事件一级响应。   永州·东安县  显示地图 ,2020/1/26 4:56,7,0,1
IrcWOwH98,可以我心我主吗,女,江苏,102,6,可以我心我主吗:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@王一博公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 4:56,0,0,0
IrcWLvYe9,灰姑小娘娘,男,北京,127,14,灰姑小娘娘:#辽宁肺炎##营口肺炎#营口盖县 盖州市线沟村，一点没意识到疫情的严重性，没有宣传，没人戴口罩，互相还说谁谁谁是从武汉回来的，但也没人注意，大年初一还挨家挨户拜年，拜完年还串门子呢！五六十岁以上的老人不当回事，就连二三十岁的年轻人也不当回事！希望村里加强宣传，加强宣传，加强宣传！！！我在外边干着急使不上劲啊 ,2020/1/26 4:56,0,0,0
IrcWKomFq,用户7126050885,男,江苏,0,1,用户7126050885:国资委党委及时部署推动央企全力以赴防控新型肺炎疫情！ http://t.cn/A6P5iWfu  原图 ,2020/1/26 4:56,0,0,0
IrcWDx0pn,staccato_legato,男,海外,121,318,staccato_legato:豆瓣友邻推荐了油管上一位博主的视频还蛮好的，从武汉市民的视角记录疫情下的日常http://t.cn/A6P5QUjS  ,2020/1/26 4:55,3,1,0
IrcWBbfkb,耽溺爱欲,女,其他,536,487,耽溺爱欲:我姐刚告诉我，我做梦都梦到了疫情。。还说梦话。。天呐我平常从不说梦话的。。。  ,2020/1/26 4:55,0,0,0
IrcWxCccV,Perilla_a,女,浙江,792,712,Perilla_a:自从疫情开始严重 每天用大量的时间看新闻刷微博 尤其到夜晚十分焦虑 一个博主讲说长时间使自己处于这种应激的状态反而容易使免疫力下降 更易感染 今晚决定换个关键词 只搜“好消息” 希望今夜好眠 养好身体 回国迎战  ,2020/1/26 4:55,1,0,0
IrcWxmbt0,是的我就是魔鬼中的天使,女,其他,445,135,是的我就是魔鬼中的天使:疫情快过去吧！感觉我都要跟着熬垮了……  ,2020/1/26 4:55,0,0,1
IrcWvzELW,涂鞅_,女,广东,408,216,涂鞅_:『实时更新|武汉新型肺炎全国疫情地图』实时更新|新冠肺炎疫情地图  ,2020/1/26 4:55,0,0,0
IrcWtfsjp,F88体育官微,女,江苏,247,25000,F88体育官微:根据中国足协年度赛事计划，2020年中国足球协会超级杯赛原定于2月5日19点35分在江苏苏州奥体中心体育场举行，对阵双方为广州恒大淘宝足球俱乐部与上海绿地申花足球俱乐部。    根据新型冠状病毒感染的肺炎疫情防控工作要求，为避免人群聚集引发交叉感染，中国足协经过慎重分析与评估，决定延期举办2020中国足球协会超级杯赛。    中国足协将与相关俱乐部及赛事承办单位，进一步做好因赛事延期举行所产生的相关后续工作，确保赛事调整有序稳定，球迷利益得到保障。赛事延期后再次举办的具体时间，中国足协将根据情况另行评估确定。   祝大家新春快乐，健康平安！#中国超级杯# 原图 ,2020/1/26 4:55,0,0,0
IrcWs5Ff3,love_Sam哥,男,广东,517,3715,love_Sam哥:大家在国外这段时间估计都有关注国内的疫情，百分之99的中国人都戴着口罩回国了！ 😂😂😂 泰国·Suvarnabhumi International Airport love_Sam哥的微博视频  显示地图 ,2020/1/26 4:55,0,0,0
IrcWrrmmR,九天狐的蓝颜,男,其他,263,25,九天狐的蓝颜:我在看：【这封请战书让人泪目 曾赴小汤山的队员请战抗疫情】#跟新浪看热点#  这封请战书让人泪目 曾赴小汤山的队员请战抗疫情  ,2020/1/26 4:55,0,0,0
IrcWpDf3i,法治四川,男,四川,3556,1226478,法治四川:面对疫情，你希望#延长假期# 吗？[冰雪奇缘安娜] 面对疫情你希望延长假期吗  ,2020/1/26 4:55,384,2,2
